Table Name,Total Capacity Reduction (Bytes),Percentage Improvement (%)
catalog_category_product_index,1,50.0
catalog_category_product_index_replica,1,50.0
catalog_category_product_index_tmp,1,50.0
catalog_eav_attribute,18,50.0
catalog_product_entity_decimal,3,25.0
catalog_product_index_price,40,66.66666666666666
catalog_product_index_price_cfg_opt_agr_idx,16,66.66666666666666
catalog_product_index_price_cfg_opt_agr_tmp,16,66.66666666666666
catalog_product_index_price_cfg_opt_idx,24,66.66666666666666
catalog_product_index_price_cfg_opt_tmp,24,66.66666666666666
catalog_product_index_price_final_idx,48,66.66666666666666
catalog_product_index_price_final_tmp,48,66.66666666666666
catalog_product_index_price_idx,40,66.66666666666666
catalog_product_index_price_opt_agr_idx,24,66.66666666666666
catalog_product_index_price_opt_agr_tmp,24,66.66666666666666
catalog_product_index_price_opt_idx,24,66.66666666666666
catalog_product_index_price_opt_tmp,24,66.66666666666666
catalog_product_index_price_replica,40,66.66666666666666
catalog_product_index_price_tmp,40,66.66666666666666
catalog_product_index_tier_price,8,66.66666666666666
catalog_product_link_attribute_decimal,3,25.0
catalog_product_option,1,50.0
catalog_product_option_type_price,8,66.66666666666666
cataloginventory_stock_item,27,47.368421052631575
cataloginventory_stock_status_replica,5,45.45454545454545
customer_address_entity,2117,81.6743827160494
customer_eav_attribute,10,50.0
customer_eav_attribute_website,2,50.0
customer_entity,979,74.22289613343442
directory_currency_rate,10,62.5
eav_attribute,3,50.0
eav_entity,1,50.0
eav_entity_type,2,50.0
eav_form_type,1,50.0
quote,2108,83.85043754972156
quote_address,1690,69.17724109701186
quote_address_item,285,58.52156057494866
quote_item,312,58.75706214689266
sales_creditmemo,93,25.40983606557377
sales_creditmemo_comment,4,66.66666666666666
sales_creditmemo_grid,18,25.0
sales_creditmemo_item,240,60.150375939849624
sales_invoice,80,25.07836990595611
sales_invoice_comment,2,50.0
sales_invoice_grid,266,47.67025089605735
sales_invoice_item,246,60.74074074074074
sales_order,533,37.3510861948143
sales_order_address,67770,98.79728843210145
sales_order_grid,527,62.073027090694936
sales_order_item,471,60.30729833546735
sales_order_payment,69,31.944444444444443
sales_order_status_history,4,66.66666666666666
sales_order_status_state,2,50.0
sales_order_tax,11,24.444444444444443
sales_order_tax_item,14,24.561403508771928
sales_payment_transaction,1,50.0
sales_shipment,10,45.45454545454545
sales_shipment_comment,4,66.66666666666666
sales_shipment_grid,4,44.44444444444444
sales_shipment_item,211,71.04377104377105
sales_shipment_track,9,50.0
search_query,3,50.0
url_rewrite,0,0
